iter	Passed	Remaining
411	4156	5931
412	4168	5925
413	4183	5921
414	4197	5917
415	4210	5910
416	4226	5909
417	4240	5904
418	4254	5899
419	4265	5890
420	4275	5880
421	4287	5872
422	4303	5870
423	4316	5863
424	4330	5858
425	4342	5851
426	4356	5845
427	4369	5839
428	4382	5833
429	4393	5823
430	4406	5816
431	4420	5811
432	4432	5804
433	4444	5796
434	4458	5790
435	4471	5784
436	4487	5780
437	4499	5773
438	4512	5766
439	4525	5760
440	4541	5756
441	4554	5750
442	4568	5743
443	4582	5738
444	4596	5732
445	4607	5723
446	4622	5719
447	4636	5713
448	4652	5708
449	4663	5699
450	4677	5694
451	4691	5687
452	4704	5681
453	4718	5675
454	4730	5666
455	4743	5658
456	4756	5651
457	4770	5645
458	4784	5639
459	4798	5633
460	4812	5626
461	4829	5623
462	4846	5620
463	4860	5615
464	4872	5606
465	4887	5600
466	4902	5595
467	4916	5589
468	4927	5579
469	4940	5570
470	4953	5563
471	4969	5558
472	4982	5551
473	4994	5542
474	5008	5535
475	5022	5528
476	5036	5522
477	5050	5515
478	5064	5509
479	5078	5501
480	5092	5495
481	5108	5489
482	5120	5481
483	5132	5472
484	5145	5464
485	5157	5454
486	5173	5449
487	5187	5442
488	5202	5436
489	5215	5428
490	5228	5420
491	5244	5414
492	5255	5404
493	5267	5395
494	5280	5387
495	5293	5378
496	5307	5371
497	5319	5362
498	5334	5355
499	5347	5347
500	5360	5339
501	5373	5330
502	5386	5322
503	5396	5310
504	5407	5300
505	5418	5289
506	5428	5278
507	5439	5268
508	5449	5256
509	5460	5246
510	5472	5236
511	5481	5224
512	5491	5213
513	5502	5202
514	5512	5191
515	5522	5180
516	5533	5169
517	5543	5158
518	5553	5146
519	5563	5135
520	5573	5123
521	5583	5112
522	5592	5100
523	5603	5089
524	5613	5078
525	5623	5067
526	5634	5057
527	5645	5047
528	5657	5037
529	5666	5024
530	5677	5014
531	5687	5003
532	5697	4991
533	5706	4979
534	5716	4968
535	5727	4957
536	5736	4945
537	5745	4933
538	5755	4922
539	5767	4913
540	5779	4903
541	5789	4892
542	5801	4882
543	5811	4871
544	5822	4860
545	5834	4851
546	5845	4841
547	5854	4828
548	5863	4817
549	5873	4805
550	5882	4793
551	5893	4783
552	5903	4771
553	5915	4762
554	5925	4750
555	5935	4739
556	5945	4728
557	5955	4717
558	5966	4707
559	5978	4697
560	5987	4685
561	5997	4674
562	6007	4662
563	6016	4651
564	6026	4639
565	6035	4628
566	6044	4616
567	6053	4604
568	6062	4592
569	6071	4580
570	6082	4569
571	6090	4557
572	6101	4547
573	6111	4535
574	6119	4523
575	6131	4513
576	6142	4502
577	6151	4491
578	6161	4479
579	6169	4467
580	6179	4456
581	6191	4447
582	6203	4436
583	6213	4426
584	6224	4415
585	6234	4404
586	6245	4393
587	6256	4383
588	6264	4371
589	6274	4359
590	6284	4349
591	6293	4337
592	6304	4327
593	6314	4315
594	6324	4305
595	6335	4294
596	6346	4284
597	6355	4272
598	6364	4260
599	6375	4250
600	6385	4239
601	6395	4228
602	6405	4216
603	6415	4206
604	6424	4194
605	6435	4184
606	6444	4172
607	6455	4161
608	6464	4150
609	6473	4138
610	6482	4126
611	6491	4115
612	6502	4105
613	6513	4095
614	6525	4084
615	6533	4072
616	6544	4062
617	6554	4051
618	6562	4039
619	6572	4028
620	6581	4016
621	6591	4005
622	6601	3994
623	6609	3982
624	6619	3971
625	6629	3960
626	6640	3950
627	6651	3940
628	6660	3928
629	6671	3917
630	6680	3906
631	6690	3895
632	6700	3884
633	6708	3872
634	6718	3861
635	6728	3850
636	6739	3840
637	6750	3829
638	6760	3819
639	6771	3808
640	6781	3797
641	6789	3786
642	6799	3775
643	6810	3764
644	6820	3753
645	6829	3742
646	6837	3730
647	6847	3719
648	6855	3707
649	6865	3696
650	6873	3684
651	6882	3673
652	6893	3662
653	6904	3652
654	6913	3641
655	6922	3630
656	6933	3620
657	6943	3608
658	6951	3597
659	6961	3586
660	6972	3575
661	6982	3565
662	6992	3554
663	7002	3543
664	7013	3533
665	7023	3522
666	7038	3513
667	7058	3507
668	7070	3498
669	7081	3488
670	7097	3480
671	7112	3471
672	7124	3461
673	7137	3452
674	7147	3441
675	7157	3430
676	7165	3418
677	7179	3409
678	7189	3399
679	7199	3388
680	7211	3378
681	7221	3367
682	7232	3356
683	7242	3345
684	7253	3335
685	7263	3324
686	7272	3313
687	7282	3302
688	7292	3291
689	7304	3281
690	7313	3270
691	7325	3260
692	7337	3250
693	7348	3239
694	7359	3229
695	7368	3218
696	7380	3208
697	7391	3198
698	7401	3187
699	7411	3176
700	7421	3165
701	7430	3154
702	7441	3143
703	7451	3133
704	7461	3122
705	7470	3111
706	7479	3099
707	7489	3088
708	7499	3078
709	7509	3067
710	7519	3056
711	7528	3045
712	7538	3034
713	7549	3023
714	7557	3012
715	7566	3001
716	7575	2990
717	7587	2980
718	7596	2968
719	7606	2958
720	7615	2946
721	7625	2936
722	7636	2925
723	7645	2914
724	7657	2904
725	7666	2893
726	7676	2882
727	7686	2871
728	7698	2861
729	7708	2851
730	7720	2840
731	7730	2830
732	7740	2819
733	7749	2808
734	7759	2797
735	7769	2787
736	7778	2775
737	7788	2765
738	7798	2754
739	7811	2744
740	7823	2734
741	7834	2724
742	7845	2713
743	7854	2702
744	7864	2691
745	7874	2680
746	7885	2670
747	7894	2659
748	7904	2648
749	7914	2638
750	7923	2627
751	7934	2616
752	7943	2605
753	7953	2594
754	7963	2584
755	7972	2573
756	7981	2562
757	7992	2551
758	8001	2540
759	8010	2529
760	8019	2518
761	8030	2508
762	8040	2497
763	8050	2486
764	8059	2475
765	8070	2465
766	8081	2455
767	8090	2444
768	8101	2433
769	8112	2423
770	8123	2412
771	8133	2402
772	8145	2391
773	8154	2380
774	8163	2370
775	8173	2359
776	8183	2348
777	8196	2338
778	8207	2328
779	8216	2317
780	8227	2307
781	8237	2296
782	8247	2285
783	8256	2274
784	8266	2264
785	8276	2253
786	8286	2242
787	8298	2232
788	8312	2223
789	8322	2212
790	8331	2201
791	8342	2190
792	8352	2180
793	8364	2170
794	8374	2159
795	8383	2148
796	8393	2137
797	8403	2127
798	8414	2116
799	8426	2106
800	8435	2095
801	8444	2084
802	8456	2074
803	8465	2063
804	8475	2053
805	8485	2042
806	8495	2031
807	8505	2021
808	8516	2010
809	8526	1999
810	8537	1989
811	8548	1979
812	8557	1968
813	8568	1957
814	8579	1947
815	8590	1937
816	8599	1926
817	8610	1915
818	8618	1904
819	8629	1894
820	8638	1883
821	8648	1872
822	8656	1861
823	8667	1851
824	8678	1840
825	8689	1830
826	8700	1820
827	8709	1809
828	8720	1798
829	8731	1788
830	8742	1777
831	8752	1767
832	8762	1756
833	8772	1746
834	8782	1735
835	8792	1724
836	8802	1714
837	8814	1703
838	8824	1693
839	8834	1682
840	8846	1672
841	8857	1662
842	8867	1651
843	8876	1640
844	8887	1630
845	8897	1619
846	8908	1609
847	8917	1598
848	8927	1587
849	8937	1577
850	8948	1566
851	8958	1556
852	8968	1545
853	8977	1534
854	8988	1524
855	8998	1513
856	9009	1503
857	9018	1492
858	9027	1481
859	9036	1470
860	9046	1460
861	9056	1449
862	9066	1439
863	9076	1428
864	9087	1418
865	9098	1407
866	9106	1396
867	9117	1386
868	9128	1376
869	9138	1365
870	9149	1355
871	9158	1344
872	9168	1333
873	9179	1323
874	9189	1312
875	9199	1302
876	9210	1291
877	9220	1281
878	9230	1270
879	9241	1260
880	9251	1249
881	9261	1239
882	9272	1228
883	9282	1218
884	9292	1207
885	9301	1196
886	9309	1186
887	9319	1175
888	9328	1164
889	9339	1154
890	9350	1143
891	9361	1133
892	9371	1122
893	9382	1112
894	9394	1102
895	9404	1091
896	9415	1081
897	9426	1070
898	9436	1060
899	9445	1049
900	9454	1038
901	9464	1028
902	9473	1017
903	9484	1007
904	9495	996
905	9504	986
906	9514	975
907	9525	965
908	9534	954
909	9544	943
910	9555	933
911	9565	922
912	9574	912
913	9582	901
914	9592	891
915	9603	880
916	9614	870
917	9623	859
918	9633	849
919	9643	838
920	9653	828
921	9664	817
922	9675	807
923	9684	796
924	9695	786
925	9703	775
926	9713	764
927	9722	754
928	9732	743
929	9740	733
930	9750	722
931	9760	712
932	9772	701
933	9782	691
934	9791	680
935	9801	670
936	9811	659
937	9821	649
938	9831	638
939	9840	628
940	9850	617
941	9859	607
942	9869	596
943	9879	586
944	9891	575
945	9901	565
946	9912	554
947	9924	544
948	9937	534
949	9947	523
950	9957	513
951	9970	502
952	9980	492
953	9990	481
954	9999	471
955	10011	460
956	10021	450
957	10030	439
958	10041	429
959	10051	418
960	10060	408
961	10071	397
962	10080	387
963	10090	376
964	10101	366
965	10111	355
966	10120	345
967	10130	334
968	10141	324
969	10154	314
970	10164	303
971	10175	293
972	10186	282
973	10195	272
974	10205	261
975	10214	251
976	10225	240
977	10235	230
978	10247	219
979	10256	209
980	10267	198
981	10278	188
982	10287	177
983	10299	167
984	10308	156
985	10319	146
986	10329	136
987	10340	125
988	10350	115
989	10360	104
990	10371	94
991	10381	83
992	10392	73
993	10404	62
994	10415	52
995	10424	41
996	10436	31
997	10447	20
998	10457	10
999	10467	0
