iter	RMSE
0	9133.835504
1	8479.52848
2	7913.511275
3	7417.165053
4	6969.860055
5	6588.309599
6	6251.634068
7	5935.338854
8	5660.09609
9	5413.85199
10	5203.051879
11	5014.825956
12	4831.916639
13	4687.403401
14	4547.499632
15	4428.886163
16	4326.000697
17	4220.905185
18	4138.970948
19	4059.567012
20	3986.556845
21	3919.40887
22	3867.271432
23	3815.330306
24	3767.167205
25	3723.813591
26	3688.188917
27	3650.834
28	3615.567421
29	3584.382718
30	3550.85225
31	3526.434735
32	3504.681987
33	3478.932163
34	3458.040816
35	3436.803764
36	3419.469173
37	3402.104599
38	3385.738596
39	3361.852678
40	3342.013853
41	3331.01282
42	3316.967234
43	3299.841171
44	3288.419166
45	3272.7172
46	3261.287221
47	3248.457656
48	3238.4426
49	3221.206012
50	3214.685802
51	3198.508459
52	3192.150349
53	3182.880214
54	3170.389022
55	3164.463452
56	3151.658832
57	3143.059979
58	3134.374246
59	3127.662767
60	3121.260178
61	3115.798582
62	3106.516872
63	3100.810737
64	3093.244945
65	3085.246778
66	3077.834908
67	3070.214423
68	3063.859646
69	3057.311632
70	3049.946851
71	3046.003971
72	3039.107463
73	3034.032591
74	3026.727362
75	3020.581802
76	3016.001515
77	3009.706324
78	3002.5663
79	2994.094972
80	2987.690606
81	2979.162032
82	2974.757391
83	2967.352417
84	2962.541587
85	2958.728104
86	2951.021398
87	2944.082568
88	2939.80039
89	2933.920512
90	2929.230738
91	2923.52954
92	2918.102124
93	2914.849723
94	2910.703817
95	2904.60247
96	2900.241558
97	2893.470279
98	2890.267304
99	2885.729018
100	2880.41568
101	2875.151866
102	2871.276568
103	2867.05939
104	2861.95196
105	2857.710022
106	2851.956664
107	2847.282383
108	2839.170246
109	2834.582934
110	2831.386799
111	2827.867442
112	2822.753941
113	2819.62444
114	2816.550651
115	2812.954401
116	2808.712355
117	2805.697016
118	2802.536581
119	2796.719589
120	2789.996339
121	2785.28961
122	2782.888127
123	2778.119763
124	2774.239974
125	2771.205921
126	2769.070895
127	2764.567203
128	2760.076381
129	2756.592718
130	2751.699291
131	2749.56966
132	2745.041092
133	2742.571057
134	2738.091864
135	2734.218665
136	2729.731076
137	2726.349828
138	2724.665533
139	2720.783298
140	2716.373509
141	2712.596207
142	2709.189945
143	2705.751016
144	2703.681904
145	2701.496435
